elapsed_hours,avg_tick_ms,p95_tick_ms,max_tick_ms,train_rate_per_hr,step_ms,gpu_ms,trainer_queue_wait_ms,tick_samples
2.1280555555555556,3106.9728571428573,3924.19,4886.96,5668054.0,1398.0,1091.1,0.01,119
2.144722222222222,3175.277881355932,3961.02,4516.76,5670838.0,1397.7,1090.9,0.01,118
2.1616666666666666,3311.427327586207,4312.48,4858.89,5425231.0,1397.9,1091.0,0.01,116
2.1783333333333332,3075.319661016949,3887.99,4392.6,5434410.0,1396.8,1090.1,0.01,118
2.1952777777777777,3288.964201680672,4226.91,4465.7,5426222.0,1394.9,1088.5,0.01,119
2.212222222222222,3491.2000847457625,4356.27,5216.53,5492526.0,1395.6,1089.0,0.01,118
2.2291666666666665,3247.756083333333,4159.22,4393.22,5678129.0,1396.7,1089.6,0.01,120
2.245833333333333,3137.331282051282,3837.11,4549.79,5443359.0,1397.2,1089.8,0.01,117
2.262777777777778,3319.519579831933,4064.19,4340.43,5445882.0,1397.8,1090.0,0.01,119
2.2794444444444446,3400.4164705882354,4257.48,4707.36,5193159.0,1398.3,1090.3,0.01,119
2.296388888888889,3459.045254237288,4427.65,4782.81,5423786.0,1399.0,1090.7,0.01,118
2.3133333333333335,3297.5454700854702,3999.08,4576.41,5433125.0,1399.3,1090.8,0.01,117
2.33,3440.9813223140495,4134.23,4504.59,5420536.0,1400.3,1091.0,0.01,121
2.3472222222222223,3558.488965517241,4498.14,5520.77,4993322.0,1403.2,1093.3,0.01,116
2.3641666666666667,3265.033813559322,4097.07,5129.4,5444779.0,1403.4,1093.5,0.01,118
2.381111111111111,3429.8388333333332,4315.44,4842.12,5430696.0,1403.0,1093.2,0.01,120
2.397777777777778,3307.401525423729,4084.21,5025.95,5413690.0,1402.8,1093.1,0.01,118
2.414722222222222,3299.7415384615388,4172.13,4472.15,5434071.0,1402.5,1092.6,0.01,117
2.4316666666666666,3497.5744444444445,4377.7,4945.35,5281258.0,1402.2,1092.3,0.01,117
2.448611111111111,3522.1027350427353,4351.97,4902.27,5413909.0,1401.9,1092.0,0.01,117
2.4655555555555555,3553.094358974359,4333.66,5139.18,5204794.0,1398.5,1089.2,0.01,117
2.4825,3402.9182905982907,4259.43,5022.56,5685911.0,1398.2,1089.0,0.01,117
2.4994444444444444,3467.314273504274,4256.31,4939.11,5465591.0,1398.0,1088.8,0.01,117
2.516388888888889,3329.944262295082,4247.67,4816.63,5205000.0,1397.6,1088.5,0.01,122
2.533333333333333,3381.462173913044,4122.49,4658.9,5452123.0,1397.6,1088.5,0.01,115
2.5502777777777776,3472.103859649123,4452.99,5058.22,5184768.0,1398.2,1088.7,0.01,114
2.567222222222222,3622.0291150442476,4509.43,4868.85,5197858.0,1398.3,1088.8,0.01,113
2.5841666666666665,3580.566581196581,4437.88,5016.22,5479356.0,1398.0,1088.7,0.01,117
2.6008333333333336,3824.3232710280377,4870.5,5645.64,4936854.0,1400.1,1090.4,0.01,107
2.617777777777778,3624.813103448276,4555.12,4947.59,5173295.0,1399.4,1090.0,0.01,116
2.6344444444444446,3400.816554621849,4592.62,5351.24,5195320.0,1398.5,1089.3,0.01,119
2.651666666666667,3567.468220338983,4540.75,5532.04,5204441.0,1397.8,1089.1,0.01,118
2.668888888888889,3506.2825000000003,4303.97,4731.95,5190345.0,1396.9,1088.7,0.01,112
2.6855555555555557,3679.5814414414413,4486.04,5156.8,5190586.0,1396.5,1088.6,0.01,111
2.7025,3880.4457894736843,4996.51,5451.65,5188678.0,1396.3,1088.2,0.01,114
2.7194444444444446,3810.2500877192983,4793.38,5083.93,5199629.0,1395.4,1087.6,0.01,114
2.736388888888889,3842.280982142857,4771.94,5312.71,5190595.0,1391.9,1085.3,0.01,112
2.7533333333333334,3865.791794871795,4825.49,5489.78,4952642.0,1391.5,1084.8,0.01,117
2.770277777777778,3421.139203539823,4235.06,5001.92,5442906.0,1391.1,1084.6,0.01,113
2.7872222222222223,3831.7873873873878,4740.76,5263.01,4944656.0,1391.6,1084.6,0.01,111
2.803888888888889,3848.948849557522,5009.97,5543.25,4965781.0,1391.6,1084.8,0.01,113
2.8208333333333333,3788.1302803738317,4632.87,5134.61,5220841.0,1391.5,1084.6,0.01,107
2.8377777777777777,4021.948956521739,4988.08,5498.42,4983814.0,1391.9,1084.7,0.01,115
2.854722222222222,4153.5924770642205,5146.98,5749.36,4679642.0,1394.7,1086.8,0.01,109
2.8713888888888888,3768.7822522522524,4744.75,5650.56,4939968.0,1394.6,1086.8,0.01,111
2.888611111111111,4035.036,4942.9,5578.73,4969690.0,1394.7,1086.6,0.01,110
2.9055555555555554,3984.0892920353986,5010.07,5440.88,4739027.0,1394.6,1086.3,0.01,113
2.922222222222222,3843.394476190476,4757.56,5325.04,4931976.0,1394.7,1086.1,0.01,105
2.9391666666666665,3785.3053153153155,4681.05,5197.62,5168025.0,1394.6,1085.9,0.01,111
2.9563888888888887,3974.9230275229356,4980.96,5662.61,4992735.0,1394.2,1085.9,0.01,109
2.973333333333333,4270.639814814815,5061.69,5929.14,4699478.0,1394.2,1085.8,0.01,108
2.99,4031.4898113207546,4847.27,6165.75,4707879.0,1394.2,1085.3,0.01,106
3.0069444444444446,3913.937641509434,5056.0,5656.93,4930307.0,1391.9,1083.4,0.01,106
3.023888888888889,4138.339732142857,4948.54,5902.41,4923267.0,1391.1,1082.3,0.01,112
3.0411111111111113,3885.197565217391,4841.23,5642.84,4960069.0,1390.9,1082.1,0.01,115
3.0580555555555557,4115.193027522935,5062.26,5615.22,4923940.0,1390.9,1081.9,0.01,109
3.075,4097.55644859813,5115.46,6601.09,4951151.0,1390.7,1081.5,0.01,107
3.091666666666667,4134.8411009174315,5426.17,6202.34,4924409.0,1390.6,1081.0,0.01,109
3.108888888888889,4403.86712962963,5352.51,5889.34,4510572.0,1391.1,1081.2,0.01,108
3.1258333333333335,4314.372673267327,5290.98,6406.49,4776843.0,1392.2,1082.5,0.01,101
3.142777777777778,4283.491261261262,5404.16,6202.33,4536949.0,1392.1,1082.1,0.01,111
3.1594444444444445,3976.955283018868,4975.18,5310.14,5015061.0,1392.3,1081.9,0.01,106
3.176388888888889,3988.7771028037387,4817.16,5726.28,4937260.0,1392.4,1082.1,0.01,107
3.1933333333333334,4234.230545454545,5227.32,6022.95,4694897.0,1392.3,1081.9,0.01,110
3.2105555555555556,4067.840185185185,5135.41,5878.29,4742492.0,1392.2,1081.5,0.01,108
3.2275,4177.440095238096,5239.51,5719.3,4691456.0,1391.9,1081.2,0.01,105
3.2444444444444445,4287.057476635514,5081.28,5913.19,4455410.0,1391.9,1081.3,0.01,107
3.261388888888889,4248.0996396396395,5396.7,5988.35,4695429.0,1391.7,1081.5,0.01,111
3.2783333333333333,4207.006055045871,5412.98,6075.91,4694275.0,1391.2,1081.0,0.01,109
3.2952777777777778,4249.811037735849,5366.26,6137.76,4437630.0,1388.2,1078.5,0.01,106
3.312222222222222,4372.496944444444,5337.97,5927.37,4682580.0,1388.2,1078.6,0.01,108
3.3291666666666666,4325.2528571428575,5228.66,5849.53,4762085.0,1388.3,1078.7,0.01,105
3.346388888888889,3962.562818181818,5018.26,5774.35,4946084.0,1388.1,1078.6,0.01,110
3.3633333333333333,4140.59213592233,5154.0,5882.24,4725972.0,1387.9,1078.5,0.01,103
3.38,4648.943465346534,5761.95,6479.18,4194581.0,1389.9,1080.1,0.01,101
3.3969444444444443,3923.710727272727,5054.43,5903.92,4933825.0,1389.5,1079.5,0.01,110
3.4138888888888888,4496.3174,5596.51,6233.56,4458896.0,1389.4,1079.4,0.01,100
3.431111111111111,4526.1525,5483.88,6113.42,4452345.0,1389.2,1079.6,0.01,104
3.4477777777777776,4113.542476190476,5010.12,5627.82,4733312.0,1389.3,1079.5,0.01,105
3.465,4317.07945945946,5314.32,5871.39,4717424.0,1389.1,1079.7,0.01,111
3.4819444444444443,4526.350388349515,5683.24,6587.81,4428558.0,1389.0,1079.6,0.01,103
3.4991666666666665,4465.672871287129,5433.7,6354.9,4477464.0,1388.9,1079.6,0.01,101
3.516111111111111,4561.088252427185,5447.66,6243.2,4442887.0,1389.4,1080.2,0.01,103
3.5330555555555554,4710.890576923077,5894.39,6616.9,4695383.0,1389.5,1080.4,0.01,104
3.55,4656.710194174758,5484.36,6377.97,4472751.0,1389.5,1080.7,0.01,103
3.5669444444444443,4420.621538461539,5560.18,6273.61,4944033.0,1386.8,1078.4,0.01,104
3.5838888888888887,4492.59,5708.27,6379.62,4698113.0,1387.1,1078.6,0.01,105
