Head to head statistics:

   1 Sloppy                                             :Removed from calculation
 2) Stockfish                                    1320.0 :   3600 (+3567,=14,-19),  99.3 %

    vs.                                                 :  games (    +,  =,  -),   (%) :    Diff,    SD, CFS (%)
    DCM uni16-9x9stem (latest)                          :    100 (   91,   9,   0),  95.5 :  +447.8,   8.0,  100.0
    DCM Exp2 - full10ply200 + 7x7                       :    100 (   87,  13,   0),  93.5 :  +459.6,   7.4,  100.0
    DCM q2Bb-tanh (latest)                              :    100 (   81,  19,   0),  90.5 :  +470.7,   8.4,  100.0
    DCM q2Bb-clamp (latest)                             :    100 (   90,  10,   0),  95.0 :  +471.0,   7.5,  100.0
    DCM 20260626-2-q2Bb-manual (latest)                 :    100 (   86,  14,   0),  93.0 :  +473.2,   8.2,  100.0
    DCM q2Bb-tanhSqrtN (latest)                         :    100 (   89,  11,   0),  94.5 :  +536.2,   7.5,  100.0
    DCM Exp1 - 467k-step basic30 + 7x7                  :    100 (   90,   9,   1),  94.5 :  +537.5,   7.9,  100.0
    DCM freshNet (latest)                               :    100 (   93,   7,   0),  96.5 :  +537.5,   7.6,  100.0

 5) DCM Qeu8-resume2 (latest)                     588.4 :   3600 (+2196,=652,-752),  70.1 %

    vs.                                                 :  games (    +,   =,   -),   (%) :    Diff,    SD, CFS (%)
    Stockfish                                           :    100 (    1,   1,  98),   1.5 :  -731.6,  27.5,    0.0
    DCM v5_5block_7x7_lnout-wd2.5e4-m93 (latest)        :    100 (   46,  17,  37),  54.5 :   -17.5,   8.1,    1.5
    DCM v5                                              :    100 (   41,  20,  39),  51.0 :   -15.3,   7.8,    2.5
    DCM nT8Y-resume3 (latest)                           :    100 (   42,  18,  40),  51.0 :   +11.5,   7.5,   93.6
    DCM Qeu8 (latest)                                   :    100 (   46,  23,  31),  57.5 :   +21.3,   7.2,   99.9
    DCM mini2b-3MIV-resume3 (latest)                    :    100 (   45,  15,  40),  52.5 :   +26.6,   7.6,  100.0
    DCM Qeu8e3 (latest)                                 :    100 (   50,  18,  32),  59.0 :   +52.9,   6.3,  100.0
    DCM mini2b-3MIV-resume (latest)                     :    100 (   36,  28,  36),  50.0 :   +54.2,   7.2,  100.0
    DCM nT8Y-resume4 (latest)                           :    100 (   49,  22,  29),  60.0 :   +56.5,   7.1,  100.0
    DCM - Qeu8e5                                        :    100 (   49,  10,  41),  54.0 :   +60.4,   6.9,  100.0
    DCM v5_5block_7x7_lnout-wd5e4 (latest)              :    100 (   45,  19,  36),  54.5 :   +62.9,   7.1,  100.0
    DCM nT8Y-fatconv-resume (latest)                    :    100 (   47,  24,  29),  59.0 :   +63.4,   7.5,  100.0
    DCM Qeu8e4 (latest)                                 :    100 (   45,  25,  30),  57.5 :   +70.0,   7.2,  100.0
    DCM mini2b-3MIV-resume2 (latest)                    :    100 (   54,  16,  30),  62.0 :   +73.0,   7.1,  100.0
    DCM nT8Y-resume2 (latest)                           :    100 (   52,  18,  30),  61.0 :   +81.4,   7.2,  100.0
    DCM Qeu8e2 (latest)                                 :    100 (   51,  20,  29),  61.0 :   +88.9,   7.1,  100.0
    DCM Qeu8e5 (latest)                                 :    100 (   36,  32,  32),  52.0 :   +89.4,   6.8,  100.0
    DCM v5_5block_7x7_lnout (latest)                    :    100 (   58,  19,  23),  67.5 :  +115.6,   6.8,  100.0
    DCM mini1b-Coxw (latest)                            :    100 (   50,  26,  24),  63.0 :  +125.6,   7.5,  100.0
    DCM nT8Y-fatconv (latest)                           :    100 (   57,  24,  19),  69.0 :  +140.7,   7.4,  100.0
    DCM Qeu8e (latest)                                  :    100 (   61,  26,  13),  74.0 :  +206.4,   7.3,  100.0
    DCM mini-YkKk-resume (latest)                       :    100 (   64,  27,   9),  77.5 :  +212.4,   7.3,  100.0
    DCM v3_8block_3x3 (latest)                          :    100 (   65,  23,  12),  76.5 :  +214.4,   6.8,  100.0
    DCM 9blk16se-9x9stem (latest)                       :    100 (   82,  15,   3),  89.5 :  +254.1,   7.0,  100.0
    DCM mini2b-3MIV (latest)                            :    100 (   74,  21,   5),  84.5 :  +259.8,   7.2,  100.0
    DCM mini-YkKk (latest)                              :    100 (   72,  24,   4),  84.0 :  +283.0,   7.6,  100.0
    DCM T97X (latest)                                   :    100 (   83,  17,   0),  91.5 :  +406.8,   7.2,  100.0
    DCM Early 2 - 373k-step 8-block v3 May25-29         :    100 (   85,  15,   0),  92.5 :  +410.2,   7.4,  100.0
    DCM uni16-9x9stem (latest)                          :    100 (   93,   7,   0),  96.5 :  +432.4,   6.8,  100.0
    DCM Exp2 - full10ply200 + 7x7                       :    100 (   88,  12,   0),  94.0 :  +444.3,   7.4,  100.0
    DCM q2Bb-tanh (latest)                              :    100 (   82,  18,   0),  91.0 :  +455.3,   9.0,  100.0
    DCM q2Bb-clamp (latest)                             :    100 (   81,  18,   1),  90.0 :  +455.7,   8.0,  100.0
    DCM 20260626-2-q2Bb-manual (latest)                 :    100 (   87,  13,   0),  93.5 :  +457.9,   7.8,  100.0
    DCM q2Bb-tanhSqrtN (latest)                         :    100 (   93,   7,   0),  96.5 :  +520.8,   8.2,  100.0
    DCM Exp1 - 467k-step basic30 + 7x7                  :    100 (   93,   7,   0),  96.5 :  +522.2,   7.2,  100.0
    DCM freshNet (latest)                               :    100 (   93,   7,   0),  96.5 :  +522.2,   7.5,  100.0

 6) DCM nT8Y-resume3 (latest)                     576.9 :   3600 (+2119,=721,-760),  68.9 %

    vs.                                                 :  games (    +,   =,   -),   (%) :    Diff,    SD, CFS (%)
    Stockfish                                           :    100 (    1,   3,  96),   2.5 :  -743.1,  29.0,    0.0
    DCM v5_5block_7x7_lnout-wd2.5e4-m93 (latest)        :    100 (   40,  13,  47),  46.5 :   -29.0,   7.0,    0.0
    DCM v5                                              :    100 (   43,  14,  43),  50.0 :   -26.8,   7.4,    0.0
    DCM Qeu8-resume2 (latest)                           :    100 (   40,  18,  42),  49.0 :   -11.5,   7.5,    6.4
    DCM Qeu8 (latest)                                   :    100 (   38,  21,  41),  48.5 :    +9.8,   6.5,   93.5
    DCM mini2b-3MIV-resume3 (latest)                    :    100 (   40,  20,  40),  50.0 :   +15.1,   7.0,   98.4
    DCM Qeu8e3 (latest)                                 :    100 (   47,  20,  33),  57.0 :   +41.4,   6.9,  100.0
    DCM mini2b-3MIV-resume (latest)                     :    100 (   43,  25,  32),  55.5 :   +42.7,   7.3,  100.0
    DCM nT8Y-resume4 (latest)                           :    100 (   54,  16,  30),  62.0 :   +45.0,   6.4,  100.0
    DCM - Qeu8e5                                        :    100 (   44,  24,  32),  56.0 :   +48.9,   5.7,  100.0
    DCM v5_5block_7x7_lnout-wd5e4 (latest)              :    100 (   42,  30,  28),  57.0 :   +51.4,   6.9,  100.0
    DCM nT8Y-fatconv-resume (latest)                    :    100 (   57,  21,  22),  67.5 :   +51.9,   6.6,  100.0
    DCM Qeu8e4 (latest)                                 :    100 (   42,  29,  29),  56.5 :   +58.5,   6.7,  100.0
    DCM mini2b-3MIV-resume2 (latest)                    :    100 (   43,  22,  35),  54.0 :   +61.5,   6.6,  100.0
    DCM nT8Y-resume2 (latest)                           :    100 (   42,  27,  31),  55.5 :   +69.9,   7.0,  100.0
    DCM Qeu8e2 (latest)                                 :    100 (   48,  28,  24),  62.0 :   +77.4,   6.4,  100.0
    DCM Qeu8e5 (latest)                                 :    100 (   45,  25,  30),  57.5 :   +77.9,   6.9,  100.0
    DCM v5_5block_7x7_lnout (latest)                    :    100 (   50,  29,  21),  64.5 :  +104.1,   6.7,  100.0
    DCM mini1b-Coxw (latest)                            :    100 (   50,  29,  21),  64.5 :  +114.1,   6.9,  100.0
    DCM nT8Y-fatconv (latest)                           :    100 (   52,  18,  30),  61.0 :  +129.2,   6.6,  100.0
    DCM Qeu8e (latest)                                  :    100 (   70,  20,  10),  80.0 :  +194.9,   6.8,  100.0
    DCM mini-YkKk-resume (latest)                       :    100 (   71,  15,  14),  78.5 :  +200.9,   7.2,  100.0
    DCM v3_8block_3x3 (latest)                          :    100 (   59,  29,  12),  73.5 :  +202.9,   6.3,  100.0
    DCM 9blk16se-9x9stem (latest)                       :    100 (   75,  17,   8),  83.5 :  +242.6,   6.6,  100.0
    DCM mini2b-3MIV (latest)                            :    100 (   69,  26,   5),  82.0 :  +248.3,   6.6,  100.0
    DCM mini-YkKk (latest)                              :    100 (   68,  29,   3),  82.5 :  +271.5,   6.8,  100.0
    DCM T97X (latest)                                   :    100 (   84,  16,   0),  92.0 :  +395.4,   7.1,  100.0
    DCM Early 2 - 373k-step 8-block v3 May25-29         :    100 (   84,  16,   0),  92.0 :  +398.7,   6.4,  100.0
