Head to head statistics:

   1 Sloppy                                             :Removed from calculation
 2) Stockfish                                    1320.0 :   3600 (+3567,=14,-19),  99.3 %

    vs.                                                 :  games (    +,  =,  -),   (%) :    Diff,    SD, CFS (%)
    DCM Qeu8e5 (latest)                                 :    100 (   41,   35,   24),  58.5 :   -36.2,   7.1,    0.0
    DCM v5_5block_7x7_lnout (latest)                    :    100 (   38,   33,   29),  54.5 :   -10.1,   7.4,    8.6
    DCM nT8Y-fatconv (latest)                           :    100 (   36,   30,   34),  51.0 :   +15.1,   6.9,   98.5
    DCM Qeu8e (latest)                                  :    100 (   34,   41,   25),  54.5 :   +80.8,   7.0,  100.0
    DCM mini-YkKk-resume (latest)                       :    100 (   44,   40,   16),  64.0 :   +86.8,   8.0,  100.0
    DCM v3_8block_3x3 (latest)                          :    100 (   39,   42,   19),  60.0 :   +88.8,   6.7,  100.0
    DCM 9blk16se-9x9stem (latest)                       :    100 (   51,   40,    9),  71.0 :  +128.4,   6.6,  100.0
    DCM mini2b-3MIV (latest)                            :    100 (   53,   36,   11),  71.0 :  +134.2,   7.2,  100.0
    DCM mini-YkKk (latest)                              :    100 (   46,   44,   10),  68.0 :  +157.4,   6.8,  100.0
    DCM T97X (latest)                                   :    100 (   64,   36,    0),  82.0 :  +281.2,   7.4,  100.0
    DCM Early 2 - 373k-step 8-block v3 May25-29         :    100 (   83,   17,    0),  91.5 :  +284.6,   6.9,  100.0
    DCM uni16-9x9stem (latest)                          :    100 (   77,   23,    0),  88.5 :  +306.8,   7.1,  100.0
    DCM Exp2 - full10ply200 + 7x7                       :    100 (   69,   31,    0),  84.5 :  +318.6,   7.2,  100.0
    DCM q2Bb-tanh (latest)                              :    100 (   54,   46,    0),  77.0 :  +329.7,   8.5,  100.0
    DCM q2Bb-clamp (latest)                             :    100 (   67,   33,    0),  83.5 :  +330.1,   7.4,  100.0
    DCM 20260626-2-q2Bb-manual (latest)                 :    100 (   66,   34,    0),  83.0 :  +332.2,   7.8,  100.0
    DCM q2Bb-tanhSqrtN (latest)                         :    100 (   75,   25,    0),  87.5 :  +395.2,   7.1,  100.0
    DCM Exp1 - 467k-step basic30 + 7x7                  :    100 (   75,   25,    0),  87.5 :  +396.6,   7.6,  100.0
    DCM freshNet (latest)                               :    100 (   76,   24,    0),  88.0 :  +396.6,   7.7,  100.0

22) DCM nT8Y-fatconv (latest)                     447.7 :   3600 (+1471,=985,-1144),  54.5 %

    vs.                                                 :  games (    +,   =,    -),   (%) :    Diff,    SD, CFS (%)
    Stockfish                                           :    100 (    1,   0,   99),   1.0 :  -872.3,  28.0,    0.0
    DCM v5_5block_7x7_lnout-wd2.5e4-m93 (latest)        :    100 (   21,  18,   61),  30.0 :  -158.2,   7.4,    0.0
    DCM v5                                              :    100 (   18,  24,   58),  30.0 :  -156.1,   6.3,    0.0
    DCM Qeu8-resume2 (latest)                           :    100 (   19,  24,   57),  31.0 :  -140.7,   7.4,    0.0
    DCM nT8Y-resume3 (latest)                           :    100 (   30,  18,   52),  39.0 :  -129.2,   6.6,    0.0
    DCM Qeu8 (latest)                                   :    100 (   23,  24,   53),  35.0 :  -119.4,   6.9,    0.0
    DCM mini2b-3MIV-resume3 (latest)                    :    100 (   22,  21,   57),  32.5 :  -114.1,   7.0,    0.0
    DCM Qeu8e3 (latest)                                 :    100 (   24,  25,   51),  36.5 :   -87.8,   6.1,    0.0
    DCM mini2b-3MIV-resume (latest)                     :    100 (   30,  24,   46),  42.0 :   -86.6,   7.2,    0.0
    DCM nT8Y-resume4 (latest)                           :    100 (   18,  26,   56),  31.0 :   -84.3,   7.1,    0.0
    DCM - Qeu8e5                                        :    100 (   31,  15,   54),  38.5 :   -80.4,   6.1,    0.0
    DCM v5_5block_7x7_lnout-wd5e4 (latest)              :    100 (   28,  31,   41),  43.5 :   -77.9,   6.8,    0.0
    DCM nT8Y-fatconv-resume (latest)                    :    100 (   20,  30,   50),  35.0 :   -77.3,   6.4,    0.0
    DCM Qeu8e4 (latest)                                 :    100 (   27,  23,   50),  38.5 :   -70.7,   6.0,    0.0
    DCM mini2b-3MIV-resume2 (latest)                    :    100 (   21,  24,   55),  33.0 :   -67.7,   6.5,    0.0
    DCM nT8Y-resume2 (latest)                           :    100 (   25,  27,   48),  38.5 :   -59.4,   7.1,    0.0
    DCM Qeu8e2 (latest)                                 :    100 (   37,  24,   39),  49.0 :   -51.8,   6.5,    0.0
    DCM Qeu8e5 (latest)                                 :    100 (   17,  37,   46),  35.5 :   -51.3,   7.0,    0.0
    DCM v5_5block_7x7_lnout (latest)                    :    100 (   27,  42,   31),  48.0 :   -25.2,   6.4,    0.0
    DCM mini1b-Coxw (latest)                            :    100 (   34,  30,   36),  49.0 :   -15.1,   6.9,    1.5
    DCM Qeu8e (latest)                                  :    100 (   32,  41,   27),  52.5 :   +65.7,   6.4,  100.0
    DCM mini-YkKk-resume (latest)                       :    100 (   50,  26,   24),  63.0 :   +71.7,   7.6,  100.0
    DCM v3_8block_3x3 (latest)                          :    100 (   40,  42,   18),  61.0 :   +73.6,   6.9,  100.0
    DCM 9blk16se-9x9stem (latest)                       :    100 (   49,  38,   13),  68.0 :  +113.3,   6.1,  100.0
    DCM mini2b-3MIV (latest)                            :    100 (   40,  47,   13),  63.5 :  +119.1,   6.4,  100.0
    DCM mini-YkKk (latest)                              :    100 (   50,  43,    7),  71.5 :  +142.3,   6.7,  100.0
    DCM T97X (latest)                                   :    100 (   79,  21,    0),  89.5 :  +266.1,   7.3,  100.0
    DCM Early 2 - 373k-step 8-block v3 May25-29         :    100 (   77,  22,    1),  88.0 :  +269.5,   6.4,  100.0
    DCM uni16-9x9stem (latest)                          :    100 (   74,  25,    1),  86.5 :  +291.7,   7.0,  100.0
    DCM Exp2 - full10ply200 + 7x7                       :    100 (   75,  25,    0),  87.5 :  +303.5,   6.5,  100.0
    DCM q2Bb-tanh (latest)                              :    100 (   74,  26,    0),  87.0 :  +314.6,   8.6,  100.0
    DCM q2Bb-clamp (latest)                             :    100 (   66,  34,    0),  83.0 :  +314.9,   7.1,  100.0
    DCM 20260626-2-q2Bb-manual (latest)                 :    100 (   69,  31,    0),  84.5 :  +317.1,   6.9,  100.0
    DCM q2Bb-tanhSqrtN (latest)                         :    100 (   70,  30,    0),  85.0 :  +380.1,   6.7,  100.0
    DCM Exp1 - 467k-step basic30 + 7x7                  :    100 (   76,  24,    0),  88.0 :  +381.4,   7.5,  100.0
    DCM freshNet (latest)                               :    100 (   77,  23,    0),  88.5 :  +381.4,   6.8,  100.0

23) DCM Qeu8e (latest)                            382.0 :   3600 (+1093,=1198,-1309),  47.0 %

    vs.                                                 :  games (    +,    =,    -),   (%) :    Diff,    SD, CFS (%)
    Stockfish                                           :    100 (    0,    1,   99),   0.5 :  -938.0,  27.5,    0.0
    DCM v5_5block_7x7_lnout-wd2.5e4-m93 (latest)        :    100 (    5,   23,   72),  16.5 :  -223.9,   6.7,    0.0
    DCM v5                                              :    100 (    9,   21,   70),  19.5 :  -221.8,   7.4,    0.0
    DCM Qeu8-resume2 (latest)                           :    100 (   13,   26,   61),  26.0 :  -206.4,   7.3,    0.0
    DCM nT8Y-resume3 (latest)                           :    100 (   10,   20,   70),  20.0 :  -194.9,   6.8,    0.0
    DCM Qeu8 (latest)                                   :    100 (   17,   19,   64),  26.5 :  -185.1,   7.0,    0.0
    DCM mini2b-3MIV-resume3 (latest)                    :    100 (   11,   29,   60),  25.5 :  -179.8,   6.5,    0.0
    DCM Qeu8e3 (latest)                                 :    100 (   13,   35,   52),  30.5 :  -153.5,   6.8,    0.0
    DCM mini2b-3MIV-resume (latest)                     :    100 (   19,   20,   61),  29.0 :  -152.3,   7.0,    0.0
    DCM nT8Y-resume4 (latest)                           :    100 (   15,   26,   59),  28.0 :  -150.0,   7.3,    0.0
    DCM - Qeu8e5                                        :    100 (   17,   23,   60),  28.5 :  -146.1,   5.5,    0.0
    DCM v5_5block_7x7_lnout-wd5e4 (latest)              :    100 (   18,   29,   53),  32.5 :  -143.6,   7.1,    0.0
    DCM nT8Y-fatconv-resume (latest)                    :    100 (   13,   37,   50),  31.5 :  -143.0,   6.7,    0.0
    DCM Qeu8e4 (latest)                                 :    100 (   21,   26,   53),  34.0 :  -136.4,   7.2,    0.0
    DCM mini2b-3MIV-resume2 (latest)                    :    100 (   20,   31,   49),  35.5 :  -133.4,   7.7,    0.0
    DCM nT8Y-resume2 (latest)                           :    100 (   15,   25,   60),  27.5 :  -125.1,   6.6,    0.0
    DCM Qeu8e2 (latest)                                 :    100 (   17,   29,   54),  31.5 :  -117.5,   6.5,    0.0
    DCM Qeu8e5 (latest)                                 :    100 (   17,   36,   47),  35.0 :  -117.0,   6.4,    0.0
    DCM v5_5block_7x7_lnout (latest)                    :    100 (   17,   43,   40),  38.5 :   -90.9,   6.8,    0.0
    DCM mini1b-Coxw (latest)                            :    100 (   25,   41,   34),  45.5 :   -80.8,   7.0,    0.0
    DCM nT8Y-fatconv (latest)                           :    100 (   27,   41,   32),  47.5 :   -65.7,   6.4,    0.0
    DCM mini-YkKk-resume (latest)                       :    100 (   26,   55,   19),  53.5 :    +6.0,   7.5,   78.6
    DCM v3_8block_3x3 (latest)                          :    100 (   26,   40,   34),  46.0 :    +7.9,   6.8,   88.0
    DCM 9blk16se-9x9stem (latest)                       :    100 (   33,   43,   24),  54.5 :   +47.6,   6.3,  100.0
    DCM mini2b-3MIV (latest)                            :    100 (   41,   42,   17),  62.0 :   +53.4,   7.1,  100.0
    DCM mini-YkKk (latest)                              :    100 (   34,   52,   14),  60.0 :   +76.6,   7.3,  100.0
    DCM T97X (latest)                                   :    100 (   59,   40,    1),  79.0 :  +200.4,   6.6,  100.0
    DCM Early 2 - 373k-step 8-block v3 May25-29         :    100 (   55,   45,    0),  77.5 :  +203.8,   7.2,  100.0
    DCM uni16-9x9stem (latest)                          :    100 (   72,   28,    0),  86.0 :  +226.0,   6.8,  100.0
    DCM Exp2 - full10ply200 + 7x7                       :    100 (   55,   45,    0),  77.5 :  +237.8,   6.0,  100.0
    DCM q2Bb-tanh (latest)                              :    100 (   51,   49,    0),  75.5 :  +248.9,   8.1,  100.0
    DCM q2Bb-clamp (latest)                             :    100 (   49,   51,    0),  74.5 :  +249.2,   6.8,  100.0
    DCM 20260626-2-q2Bb-manual (latest)                 :    100 (   49,   51,    0),  74.5 :  +251.4,   7.7,  100.0
    DCM q2Bb-tanhSqrtN (latest)                         :    100 (   73,   27,    0),  86.5 :  +314.4,   6.9,  100.0
    DCM Exp1 - 467k-step basic30 + 7x7                  :    100 (   72,   28,    0),  86.0 :  +315.7,   7.6,  100.0
    DCM freshNet (latest)                               :    100 (   79,   21,    0),  89.5 :  +315.7,   7.5,  100.0

24) DCM mini-YkKk-resume (latest)                 376.0 :   3600 (+1097,=1141,-1362),  46.3 %

    vs.                                                 :  games (    +,    =,    -),   (%) :    Diff,    SD, CFS (%)
    Stockfish                                           :    100 (    2,    1,   97),   2.5 :  -944.0,  26.4,    0.0
    DCM v5_5block_7x7_lnout-wd2.5e4-m93 (latest)        :    100 (   11,   25,   64),  23.5 :  -229.9,   7.2,    0.0
    DCM v5                                              :    100 (   11,   21,   68),  21.5 :  -227.8,   7.6,    0.0
    DCM Qeu8-resume2 (latest)                           :    100 (    9,   27,   64),  22.5 :  -212.4,   7.3,    0.0
    DCM nT8Y-resume3 (latest)                           :    100 (   14,   15,   71),  21.5 :  -200.9,   7.2,    0.0
    DCM Qeu8 (latest)                                   :    100 (    9,   22,   69),  20.0 :  -191.1,   6.7,    0.0
    DCM mini2b-3MIV-resume3 (latest)                    :    100 (   10,   32,   58),  26.0 :  -185.8,   7.0,    0.0
    DCM Qeu8e3 (latest)                                 :    100 (   22,   25,   53),  34.5 :  -159.5,   6.6,    0.0
    DCM mini2b-3MIV-resume (latest)                     :    100 (   14,   25,   61),  26.5 :  -158.2,   7.2,    0.0
    DCM nT8Y-resume4 (latest)                           :    100 (   15,   24,   61),  27.0 :  -156.0,   7.2,    0.0
    DCM - Qeu8e5                                        :    100 (   22,   15,   63),  29.5 :  -152.0,   7.2,    0.0
    DCM v5_5block_7x7_lnout-wd5e4 (latest)              :    100 (   10,   35,   55),  27.5 :  -149.6,   7.1,    0.0
    DCM nT8Y-fatconv-resume (latest)                    :    100 (   18,   24,   58),  30.0 :  -149.0,   7.3,    0.0
    DCM Qeu8e4 (latest)                                 :    100 (   24,   30,   46),  39.0 :  -142.4,   7.8,    0.0
    DCM mini2b-3MIV-resume2 (latest)                    :    100 (   13,   31,   56),  28.5 :  -139.4,   7.2,    0.0
    DCM nT8Y-resume2 (latest)                           :    100 (   16,   27,   57),  29.5 :  -131.1,   7.3,    0.0
    DCM Qeu8e2 (latest)                                 :    100 (   25,   22,   53),  36.0 :  -123.5,   7.2,    0.0
    DCM Qeu8e5 (latest)                                 :    100 (   11,   37,   52),  29.5 :  -123.0,   7.4,    0.0
    DCM v5_5block_7x7_lnout (latest)                    :    100 (   15,   38,   47),  34.0 :   -96.9,   7.3,    0.0
    DCM mini1b-Coxw (latest)                            :    100 (   16,   40,   44),  36.0 :   -86.8,   8.0,    0.0
    DCM nT8Y-fatconv (latest)                           :    100 (   24,   26,   50),  37.0 :   -71.7,   7.6,    0.0
    DCM Qeu8e (latest)                                  :    100 (   19,   55,   26),  46.5 :    -6.0,   7.5,   21.4
    DCM v3_8block_3x3 (latest)                          :    100 (   31,   43,   26),  52.5 :    +2.0,   7.0,   61.0
    DCM 9blk16se-9x9stem (latest)                       :    100 (   22,   56,   22),  50.0 :   +41.6,   7.0,  100.0
    DCM mini2b-3MIV (latest)                            :    100 (   24,   56,   20),  52.0 :   +47.4,   6.3,  100.0
    DCM mini-YkKk (latest)                              :    100 (   32,   51,   17),  57.5 :   +70.6,   7.5,  100.0
    DCM T97X (latest)                                   :    100 (   46,   52,    2),  72.0 :  +194.4,   6.8,  100.0
    DCM Early 2 - 373k-step 8-block v3 May25-29         :    100 (   55,   44,    1),  77.0 :  +197.8,   6.7,  100.0
    DCM uni16-9x9stem (latest)                          :    100 (   67,   33,    0),  83.5 :  +220.0,   6.8,  100.0
    DCM Exp2 - full10ply200 + 7x7                       :    100 (   68,   31,    1),  83.5 :  +231.8,   7.4,  100.0
    DCM q2Bb-tanh (latest)                              :    100 (   73,   27,    0),  86.5 :  +242.9,   8.6,  100.0
    DCM q2Bb-clamp (latest)                             :    100 (   69,   31,    0),  84.5 :  +243.3,   7.4,  100.0
    DCM 20260626-2-q2Bb-manual (latest)                 :    100 (   54,   46,    0),  77.0 :  +245.4,   7.9,  100.0
    DCM q2Bb-tanhSqrtN (latest)                         :    100 (   81,   19,    0),  90.5 :  +308.4,   7.7,  100.0
    DCM Exp1 - 467k-step basic30 + 7x7                  :    100 (   74,   26,    0),  87.0 :  +309.8,   7.5,  100.0
    DCM freshNet (latest)                               :    100 (   71,   29,    0),  85.5 :  +309.8,   7.4,  100.0

25) DCM v3_8block_3x3 (latest)                    374.1 :   3600 (+1054,=1211,-1335),  46.1 %

    vs.                                                 :  games (    +,    =,    -),   (%) :    Diff,    SD, CFS (%)
    Stockfish                                           :    100 (    0,    0,  100),   0.0 :  -945.9,  27.5,    0.0
    DCM v5_5block_7x7_lnout-wd2.5e4-m93 (latest)        :    100 (   11,   15,   74),  18.5 :  -231.8,   7.6,    0.0
    DCM v5                                              :    100 (   14,   13,   73),  20.5 :  -229.7,   6.9,    0.0
    DCM Qeu8-resume2 (latest)                           :    100 (   12,   23,   65),  23.5 :  -214.4,   6.8,    0.0
    DCM nT8Y-resume3 (latest)                           :    100 (   12,   29,   59),  26.5 :  -202.9,   6.3,    0.0
    DCM Qeu8 (latest)                                   :    100 (   13,   26,   61),  26.0 :  -193.0,   6.7,    0.0
    DCM mini2b-3MIV-resume3 (latest)                    :    100 (   15,   22,   63),  26.0 :  -187.8,   6.8,    0.0
    DCM Qeu8e3 (latest)                                 :    100 (   18,   23,   59),  29.5 :  -161.5,   6.2,    0.0
    DCM mini2b-3MIV-resume (latest)                     :    100 (   17,   30,   53),  32.0 :  -160.2,   6.9,    0.0
    DCM nT8Y-resume4 (latest)                           :    100 (   12,   27,   61),  25.5 :  -157.9,   6.7,    0.0
    DCM - Qeu8e5                                        :    100 (   25,   21,   54),  35.5 :  -154.0,   6.1,    0.0
    DCM v5_5block_7x7_lnout-wd5e4 (latest)              :    100 (   16,   29,   55),  30.5 :  -151.5,   7.1,    0.0
    DCM nT8Y-fatconv-resume (latest)                    :    100 (   10,   31,   59),  25.5 :  -151.0,   5.9,    0.0
    DCM Qeu8e4 (latest)                                 :    100 (    9,   37,   54),  27.5 :  -144.3,   6.7,    0.0
    DCM mini2b-3MIV-resume2 (latest)                    :    100 (   20,   29,   51),  34.5 :  -141.3,   6.6,    0.0
    DCM nT8Y-resume2 (latest)                           :    100 (   14,   30,   56),  29.0 :  -133.0,   7.1,    0.0
    DCM Qeu8e2 (latest)                                 :    100 (   26,   35,   39),  43.5 :  -125.5,   6.4,    0.0
    DCM Qeu8e5 (latest)                                 :    100 (   16,   33,   51),  32.5 :  -125.0,   6.8,    0.0
    DCM v5_5block_7x7_lnout (latest)                    :    100 (   15,   32,   53),  31.0 :   -98.8,   6.6,    0.0
    DCM mini1b-Coxw (latest)                            :    100 (   19,   42,   39),  40.0 :   -88.8,   6.7,    0.0
    DCM nT8Y-fatconv (latest)                           :    100 (   18,   42,   40),  39.0 :   -73.6,   6.9,    0.0
    DCM Qeu8e (latest)                                  :    100 (   34,   40,   26),  54.0 :    -7.9,   6.8,   12.0
    DCM mini-YkKk-resume (latest)                       :    100 (   26,   43,   31),  47.5 :    -2.0,   7.0,   39.0
    DCM 9blk16se-9x9stem (latest)                       :    100 (   36,   44,   20),  58.0 :   +39.7,   6.8,  100.0
    DCM mini2b-3MIV (latest)                            :    100 (   30,   50,   20),  55.0 :   +45.4,   6.4,  100.0
    DCM mini-YkKk (latest)                              :    100 (   31,   52,   17),  57.0 :   +68.6,   6.5,  100.0
    DCM T97X (latest)                                   :    100 (   54,   45,    1),  76.5 :  +192.5,   7.2,  100.0
    DCM Early 2 - 373k-step 8-block v3 May25-29         :    100 (   54,   45,    1),  76.5 :  +195.8,   6.6,  100.0
    DCM uni16-9x9stem (latest)                          :    100 (   59,   41,    0),  79.5 :  +218.1,   6.4,  100.0
    DCM Exp2 - full10ply200 + 7x7                       :    100 (   62,   38,    0),  81.0 :  +229.9,   6.8,  100.0
    DCM q2Bb-tanh (latest)                              :    100 (   58,   42,    0),  79.0 :  +241.0,   8.1,  100.0
    DCM q2Bb-clamp (latest)                             :    100 (   58,   42,    0),  79.0 :  +241.3,   7.0,  100.0
    DCM 20260626-2-q2Bb-manual (latest)                 :    100 (   45,   55,    0),  72.5 :  +243.5,   7.2,  100.0
    DCM q2Bb-tanhSqrtN (latest)                         :    100 (   68,   32,    0),  84.0 :  +306.4,   7.1,  100.0
    DCM Exp1 - 467k-step basic30 + 7x7                  :    100 (   60,   40,    0),  80.0 :  +307.8,   6.9,  100.0
    DCM freshNet (latest)                               :    100 (   67,   33,    0),  83.5 :  +307.8,   7.3,  100.0

26) DCM 9blk16se-9x9stem (latest)                 334.4 :   3700 (+900,=1249,-1551),  41.2 %

    vs.                                                 :  games (   +,    =,    -),   (%) :    Diff,    SD, CFS (%)
    Stockfish                                           :    100 (   0,    0,  100),   0.0 :  -985.6,  27.6,    0.0
    DCM v5_5block_7x7_lnout-wd2.5e4-m93 (latest)        :    100 (   5,   20,   75),  15.0 :  -271.5,   7.3,    0.0
    DCM v5                                              :    100 (   7,   22,   71),  18.0 :  -269.4,   6.8,    0.0
    DCM Qeu8-resume2 (latest)                           :    100 (   3,   15,   82),  10.5 :  -254.1,   7.0,    0.0
    DCM nT8Y-resume3 (latest)                           :    100 (   8,   17,   75),  16.5 :  -242.6,   6.6,    0.0
    DCM Qeu8 (latest)                                   :    100 (   9,   27,   64),  22.5 :  -232.7,   6.8,    0.0
    DCM mini2b-3MIV-resume3 (latest)                    :    100 (   9,   23,   68),  20.5 :  -227.5,   6.9,    0.0
    DCM Qeu8e3 (latest)                                 :    100 (  10,   24,   66),  22.0 :  -201.2,   6.6,    0.0
    DCM mini2b-3MIV-resume (latest)                     :    100 (  12,   22,   66),  23.0 :  -199.9,   6.2,    0.0
    DCM nT8Y-resume4 (latest)                           :    100 (   7,   32,   61),  23.0 :  -197.6,   6.4,    0.0
    DCM - Qeu8e5                                        :    100 (  15,   26,   59),  28.0 :  -193.7,   6.9,    0.0
    DCM v5_5block_7x7_lnout-wd5e4 (latest)              :    200 (  20,   56,  124),  24.0 :  -191.2,   6.3,    0.0
    DCM nT8Y-fatconv-resume (latest)                    :    100 (   9,   32,   59),  25.0 :  -190.7,   6.1,    0.0
    DCM Qeu8e4 (latest)                                 :    100 (  14,   29,   57),  28.5 :  -184.0,   7.1,    0.0
    DCM mini2b-3MIV-resume2 (latest)                    :    100 (  11,   31,   58),  26.5 :  -181.0,   7.2,    0.0
    DCM nT8Y-resume2 (latest)                           :    100 (  15,   22,   63),  26.0 :  -172.7,   7.1,    0.0
    DCM Qeu8e2 (latest)                                 :    100 (  16,   26,   58),  29.0 :  -165.2,   5.8,    0.0
    DCM Qeu8e5 (latest)                                 :    100 (  11,   35,   54),  28.5 :  -164.7,   6.9,    0.0
    DCM v5_5block_7x7_lnout (latest)                    :    100 (  13,   30,   57),  28.0 :  -138.5,   7.3,    0.0
    DCM mini1b-Coxw (latest)                            :    100 (   9,   40,   51),  29.0 :  -128.4,   6.6,    0.0
    DCM nT8Y-fatconv (latest)                           :    100 (  13,   38,   49),  32.0 :  -113.3,   6.1,    0.0
    DCM Qeu8e (latest)                                  :    100 (  24,   43,   33),  45.5 :   -47.6,   6.3,    0.0
    DCM mini-YkKk-resume (latest)                       :    100 (  22,   56,   22),  50.0 :   -41.6,   7.0,    0.0
    DCM v3_8block_3x3 (latest)                          :    100 (  20,   44,   36),  42.0 :   -39.7,   6.8,    0.0
    DCM mini2b-3MIV (latest)                            :    100 (  20,   56,   24),  48.0 :    +5.8,   6.6,   80.8
    DCM mini-YkKk (latest)                              :    100 (  25,   59,   16),  54.5 :   +29.0,   7.2,  100.0
    DCM T97X (latest)                                   :    100 (  55,   45,    0),  77.5 :  +152.8,   6.8,  100.0
    DCM Early 2 - 373k-step 8-block v3 May25-29         :    100 (  55,   45,    0),  77.5 :  +156.2,   6.3,  100.0
    DCM uni16-9x9stem (latest)                          :    100 (  64,   35,    1),  81.5 :  +178.4,   6.6,  100.0
    DCM Exp2 - full10ply200 + 7x7                       :    100 (  56,   44,    0),  78.0 :  +190.2,   5.8,  100.0
    DCM q2Bb-tanh (latest)                              :    100 (  55,   44,    1),  77.0 :  +201.3,   8.2,  100.0
    DCM q2Bb-clamp (latest)                             :    100 (  47,   53,    0),  73.5 :  +201.6,   7.0,  100.0
    DCM 20260626-2-q2Bb-manual (latest)                 :    100 (  61,   38,    1),  80.0 :  +203.8,   6.9,  100.0
    DCM q2Bb-tanhSqrtN (latest)                         :    100 (  61,   39,    0),  80.5 :  +266.8,   6.7,  100.0
    DCM Exp1 - 467k-step basic30 + 7x7                  :    100 (  56,   44,    0),  78.0 :  +268.1,   7.1,  100.0
    DCM freshNet (latest)                               :    100 (  63,   37,    0),  81.5 :  +268.1,   7.3,  100.0

27) DCM mini2b-3MIV (latest)                      328.6 :   3600 (+800,=1353,-1447),  41.0 %

    vs.                                                 :  games (   +,    =,    -),   (%) :    Diff,    SD, CFS (%)
    Stockfish                                           :    100 (   0,    0,  100),   0.0 :  -991.4,  27.5,    0.0
    DCM v5_5block_7x7_lnout-wd2.5e4-m93 (latest)        :    100 (   6,   17,   77),  14.5 :  -277.3,   7.9,    0.0
    DCM v5                                              :    100 (   6,   19,   75),  15.5 :  -275.2,   7.0,    0.0
    DCM Qeu8-resume2 (latest)                           :    100 (   5,   21,   74),  15.5 :  -259.8,   7.2,    0.0
    DCM nT8Y-resume3 (latest)                           :    100 (   5,   26,   69),  18.0 :  -248.3,   6.6,    0.0
    DCM Qeu8 (latest)                                   :    100 (   8,   25,   67),  20.5 :  -238.5,   6.6,    0.0
    DCM mini2b-3MIV-resume3 (latest)                    :    100 (  11,   23,   66),  22.5 :  -233.2,   6.6,    0.0
    DCM Qeu8e3 (latest)                                 :    100 (   6,   34,   60),  23.0 :  -206.9,   6.0,    0.0
    DCM mini2b-3MIV-resume (latest)                     :    100 (   8,   26,   66),  21.0 :  -205.6,   7.3,    0.0
    DCM nT8Y-resume4 (latest)                           :    100 (  10,   22,   68),  21.0 :  -203.4,   6.8,    0.0
    DCM - Qeu8e5                                        :    100 (  16,   26,   58),  29.0 :  -199.4,   6.7,    0.0
    DCM v5_5block_7x7_lnout-wd5e4 (latest)              :    100 (   9,   30,   61),  24.0 :  -197.0,   6.8,    0.0
    DCM nT8Y-fatconv-resume (latest)                    :    100 (  10,   31,   59),  25.5 :  -196.4,   6.3,    0.0
    DCM Qeu8e4 (latest)                                 :    100 (  14,   25,   61),  26.5 :  -189.8,   6.8,    0.0
    DCM mini2b-3MIV-resume2 (latest)                    :    100 (  14,   33,   53),  30.5 :  -186.8,   6.9,    0.0
    DCM nT8Y-resume2 (latest)                           :    100 (  16,   31,   53),  31.5 :  -178.5,   7.2,    0.0
    DCM Qeu8e2 (latest)                                 :    100 (  10,   45,   45),  32.5 :  -170.9,   6.2,    0.0
    DCM Qeu8e5 (latest)                                 :    100 (   8,   29,   63),  22.5 :  -170.4,   7.2,    0.0
    DCM v5_5block_7x7_lnout (latest)                    :    100 (  11,   40,   49),  31.0 :  -144.3,   7.1,    0.0
    DCM mini1b-Coxw (latest)                            :    100 (  11,   36,   53),  29.0 :  -134.2,   7.2,    0.0
    DCM nT8Y-fatconv (latest)                           :    100 (  13,   47,   40),  36.5 :  -119.1,   6.4,    0.0
    DCM Qeu8e (latest)                                  :    100 (  17,   42,   41),  38.0 :   -53.4,   7.1,    0.0
    DCM mini-YkKk-resume (latest)                       :    100 (  20,   56,   24),  48.0 :   -47.4,   6.3,    0.0
    DCM v3_8block_3x3 (latest)                          :    100 (  20,   50,   30),  45.0 :   -45.4,   6.4,    0.0
    DCM 9blk16se-9x9stem (latest)                       :    100 (  24,   56,   20),  52.0 :    -5.8,   6.6,   19.2
    DCM mini-YkKk (latest)                              :    100 (  24,   63,   13),  55.5 :   +23.2,   7.3,   99.9
    DCM T97X (latest)                                   :    100 (  45,   54,    1),  72.0 :  +147.0,   7.6,  100.0
    DCM Early 2 - 373k-step 8-block v3 May25-29         :    100 (  52,   48,    0),  76.0 :  +150.4,   6.5,  100.0
    DCM uni16-9x9stem (latest)                          :    100 (  52,   47,    1),  75.5 :  +172.6,   6.8,  100.0
    DCM Exp2 - full10ply200 + 7x7                       :    100 (  41,   59,    0),  70.5 :  +184.4,   6.6,  100.0
    DCM q2Bb-tanh (latest)                              :    100 (  53,   47,    0),  76.5 :  +195.5,   8.7,  100.0
    DCM q2Bb-clamp (latest)                             :    100 (  39,   61,    0),  69.5 :  +195.9,   7.2,  100.0
    DCM 20260626-2-q2Bb-manual (latest)                 :    100 (  38,   62,    0),  69.0 :  +198.0,   6.7,  100.0
    DCM q2Bb-tanhSqrtN (latest)                         :    100 (  68,   32,    0),  84.0 :  +261.0,   7.0,  100.0
    DCM Exp1 - 467k-step basic30 + 7x7                  :    100 (  48,   52,    0),  74.0 :  +262.4,   7.0,  100.0
    DCM freshNet (latest)                               :    100 (  62,   38,    0),  81.0 :  +262.4,   7.8,  100.0

28) DCM mini-YkKk (latest)                        305.4 :   3600 (+657,=1457,-1486),  38.5 %

    vs.                                                 :  games (   +,    =,    -),   (%) :    Diff,    SD, CFS (%)
