step,pElo,nll,segment
164852,1680,2.054,3
165126,1672,2.067,3
165376,1672,2.067,3
165626,1667,2.067,3
165878,1670,2.063,3
166152,1674,2.067,3
166403,1668,2.063,3
166653,1671,2.064,3
166903,1671,2.066,3
167153,1672,2.067,3
167403,1665,2.073,3
167677,1644,2.102,3
167927,1653,2.095,3
168178,1658,2.068,3
168428,1697,2.071,3
168678,1667,2.079,3
168952,1661,2.071,3
169204,1660,2.071,3
169476,1663,2.066,3
169728,1666,2.069,3
169978,1665,2.068,3
170228,1666,2.065,3
170478,1663,2.068,3
170752,1663,2.073,3
171003,1657,2.071,3
171253,1663,2.064,3
171526,1667,2.061,3
171777,1679,2.064,3
172028,1666,2.086,3
172301,1662,2.082,3
172553,1652,2.100,3
172803,1665,2.074,3
173053,1670,2.077,3
173303,1670,2.074,3
173553,1667,2.076,3
173803,1668,2.076,3
174076,1667,2.077,3
174327,1667,2.078,3
174601,1667,2.079,3
174853,1667,2.073,3
175127,1668,2.072,3
175377,1664,2.077,3
175627,1653,2.113,3
175877,1676,2.058,3
176127,1665,2.061,3
176377,1647,2.088,3
176629,1659,2.095,3
176902,1666,2.060,3
177153,1670,2.059,3
177403,1663,2.064,3
177653,1663,2.066,3
177928,1666,2.064,3
178202,1666,2.063,3
178453,1666,2.063,3
178727,1667,2.068,3
178977,1671,2.067,3
179228,1665,2.058,3
179478,1663,2.110,3
179752,1648,2.107,3
180002,1671,2.056,3
180253,1679,2.076,3
180527,1671,2.057,3
180777,1673,2.074,3
181052,1675,2.075,3
181327,1669,2.079,3
181578,1672,2.077,3
181853,1666,2.077,3
182103,1671,2.073,3
182353,1668,2.074,3
182603,1669,2.070,3
182877,1665,2.070,3
183153,1671,2.062,3
183426,1672,2.067,3
183677,1650,2.083,3
183928,1657,2.072,3
184202,1660,2.119,3
184476,1657,2.070,3
184726,1662,2.078,3
184978,1668,2.070,3
185228,1661,2.077,3
185478,1662,2.072,3
185728,1667,2.069,3
186002,1664,2.072,3
186252,1662,2.073,3
186527,1660,2.072,3
186777,1665,2.069,3
187027,1666,2.068,3
187301,1665,2.063,3
187553,1655,2.072,3
187827,1648,2.131,3
188077,1660,2.092,3
188328,1646,2.109,3
188578,1661,2.061,3
188852,1673,2.072,3
189104,1667,2.070,3
189378,1667,2.077,3
189652,1668,2.079,3
189902,1668,2.080,3
190153,1667,2.080,3
190403,1667,2.083,3
190677,1666,2.079,3
190928,1667,2.078,3
191178,1667,2.078,3
191452,1664,2.093,3
191726,1669,2.077,3
191976,1646,2.101,3
192228,1635,2.127,3
192478,1680,2.062,3
192751,1640,2.116,3
193001,1666,2.078,3
193251,1658,2.075,3
193501,1660,2.081,3
193751,1664,2.072,3
194001,1662,2.079,3
194252,1662,2.081,3
194502,1666,2.070,3
194753,1662,2.073,3
195027,1666,2.081,3
195278,1655,2.076,3
195528,1668,2.080,3
195778,1677,2.065,3
196053,1673,2.100,3
196328,1679,2.093,3
196601,1668,2.102,3
196852,1663,2.079,3
197103,1675,2.076,3
197353,1671,2.078,3
